ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR17-I-2-18414,Osmania University,46.63,20.56,91.98,58.41,11.16,Hyderabad,Telangana,45.52,38
IR17-I-1-18700,Indian Institute of Management Calcutta,70.17,6.04,62.15,74.17,24.61,Kolkata,West Bengal,45.17,39
IR17-I-1-30713,Punjab Agricultural University,77.94,16.51,57.2,48.44,3.83,Ludhiana,Punjab,44.99,40
IR17-I-2-18261,Institute of Chemical Technology,41.33,36.82,69.31,55.73,20.69,Mumbai,Maharashtra,44.95,41
IR17-I-2-17784,Jamia Hamdard,52.44,27.86,73.99,57.57,1.87,New Delhi,Delhi,44.84,42
IR17-I-2-30702,Gauhati University,50.65,16.84,89.89,59.41,2.48,Guwahati,Assam,44.42,43
IR17-I-1-18635,Indian Institute of Science Education & Research Kolkata,56.68,27.13,57.82,70,6.79,Mohanpur,West Bengal,44.38,44
IR17-I-2-18567,Bharathiar University,45.67,35.58,63.73,62.6,9.11,Coimbatore,Tamil Nadu,44.29,45
IR17-I-2-1-140,National Institute of Technology Rourkela,43.93,34.18,67.94,65.97,4,Rourkela,Odisha,44.02,46
IR17-I-2-18317,Kerala University,50.61,14.62,89.18,64.47,0.89,Thiruvananthapuram,Kerala,43.95,47
IR17-I-2-10563,Tezpur University,51.89,28.83,62.76,63.05,7.09,Tezpur,Assam,43.78,48
IR17-I-1-700,Tata Institute of Social Sciences,51.92,6.59,76.5,85.16,23.31,Mumbai,Maharashtra,43.71,49
IR17-I-2-18477,Shanmugha Arts Science Technology & Research Academy,43.1,31.09,68.04,65.18,11.1,Thanjavur,Tamil Nadu,43.5,50
IR17-I-1-18704,Indian Institute of Management Lucknow,63.94,6.94,62.69,82.57,12.92,Lucknow,Uttar Pradesh,43.35,51
IR17-I-2-1-333,Indian Institute of Science Education and Research Mohali,55.38,17.55,62.99,80.48,7.52,Mohali,Punjab,43.27,52
IR17-I-1-18632,Indian Institute of Technology (Indian School of Mines) Dhanbad,40.04,34.27,67.12,67.08,7.88,Dhanbad,Jharkhand,43.21,53
IR17-I-2-1-2814248400,Panjab University,36.7,40.79,66.18,47.4,18.99,Chandigarh,Chandigarh,43.13,54
IR17-I-2-1-596,S.R.M. Institute of Science and Technology,45.8,25.07,64.33,78.65,10.8,Chennai,Tamil Nadu,43.07,55
IR17-I-1-1-249,Indian Institute of Space Science and Technology,69.46,11.63,51.78,70.33,13.45,Thiruvananthapuram,Kerala,43.06,56
IR17-I-2-1-457,Mysore University,41.59,20.1,93.17,53.51,3.44,Mysore,Karnataka,42.83,57
IR17-I-2-18693,"National Institute of Pharmaceutical Education and Research, Hyderabad",61.28,14.3,60.78,75.15,3.9,Hyderabad,Telangana,42.74,58
IR17-I-2-18424,Pondicherry University,44.07,26.33,72.73,65.61,4.67,Puducherry,Pondicherry,42.7,59
IR17-I-2-1-697,Tamil Nadu Veterinary & Animal Sciences University,75.08,6.36,61.11,57.5,0.67,Chennai,Tamil Nadu,42.48,60
IR17-I-2-1-661,Sri Ramachandra University,68.16,14.1,47.94,73.02,8.86,Chennai,Tamil Nadu,42.46,61
IR17-I-2-18276,Anand Agricultural University,72.99,5.89,70.24,42.67,2.75,Anand,Gujarat,42.26,62
IR17-I-1-18709,Indian Institute of Management Udaipur,68.76,1.38,60,86.05,5.04,Udaipur,Rajasthan,42.15,63
IR17-I-2-18341,University of Madras,44.22,29.26,62.26,62.75,10.82,Chennai,Tamil Nadu,41.85,64
IR17-I-1-1-493,"National Institute of Technology Karnataka, Surathkal",42.31,21.43,71.88,62.86,20.13,Surathkal,Karnataka,41.8,65
IR17-I-1-18627,Indian Institute of Technology Bhubaneswar,57.89,20.92,51.73,74.82,2.66,Bhubaneswar,Odisha,41.75,66
IR17-I-1-1-18708,Indian Institute of Management Tiruchirappalli,71.34,1.09,60,77.67,2.31,Tiruchirappalli,Tamil Nadu,41.73,67
IR17-I-2-1-668,Sri Venkateswara University,45.88,24.43,68.72,64.57,1.94,Tirupati,Andhra Pradesh,41.48,68
IR17-I-2-1-31,Andhra University,40.32,18.59,80.31,55.75,20.72,Visakhapatnam,Andhra Pradesh,41.38,69
IR17-I-2-18672,Indian Institute of Technology (Banaras Hindu University) Varanasi,42.85,19.35,72.56,57.89,23.96,Varanasi,Uttar Pradesh,41.37,70
IR17-I-1-1-347,Indian Institute of Management Kashipur,72.76,1.47,60,70.17,0.72,Kashipur,Uttarakhand,41.36,71
IR17-I-2-18472,Sathyabama Institute of Science and Technology,42.32,22.17,65.64,77.13,11.08,Chennai,Tamil Nadu,41.3,72
IR17-I-2-18690,"Indian Institute of Engineering Science and Technology, Shibpur",45.5,27.57,64.98,54.35,9.29,Howrah,West Bengal,41.28,73
IR17-I-2-1-299,Jagadguru Sri Shivarathreeshwara University,55.34,10.32,61.55,76.67,14.99,Mysore,Karnataka,41.18,74
IR17-I-2-1-2813959492,Thapar Institute of Engineering and Technology,39.35,29.05,70.16,49.1,13.17,Patiala,Punjab,40.78,75
IR17-I-2-30671,Dr. D. Y. Patil Vidyapeeth,64.52,4.9,60.27,65.47,11.61,Pune,Maharashtra,40.59,76
IR17-I-2-18409,North Eastern Hill University,53.99,11.83,71.52,61.35,3.24,Shillong,Meghalaya,40.51,77
IR17-I-1-18628,Indian Institute of Technology Gandhinagar,59.15,17.34,51.27,63.65,9.24,Ahmedabad,Gujarat,40.48,78
IR17-I-2-1-336,Kalinga Institute of Industrial Technology,46.39,12.75,68.53,69.17,20.95,Bhubaneswar,Odisha,40.47,79
IR17-I-1-1-2811256746,Sri Sivasubramaniya Nadar College of Engineering,52.45,14.02,64.06,61.58,13.86,Kalavakkam,Tamil Nadu,40.31,80
IR17-I-2-18214,Guru Angad Dev Veterinary & Animal Sciences University,71.99,10.08,56.99,40.19,0.59,Ludhiana,Punjab,40.1,81
IR17-I-2-18622,National Institute of Technology Warangal,46.02,17.53,68.74,64.94,7.43,Warangal,Telangana,40.05,82
IR17-I-2-1-344,Indian Institute of Technology Patna,52.27,19.13,55.08,71.52,2.8,Patna,Bihar,39.87,83
IR17-I-2-1-178,Dr. Y.S.Parmar University of Horticulture & Forestry,68.64,4.39,65.58,44.54,0.64,Solan,Himachal Pradesh,39.54,84
IR17-I-1-18703,Indian Institute of Management Kozhikode,58.19,6.11,60.86,71.74,5.73,Kozhikode,Kerala,39.2,85
IR17-I-2-18259,Amity University,38.5,23.36,63.06,61.86,18.06,Gautam Budh Nagar,Uttar Pradesh,39.17,86
IR17-I-1-12080,Indian Institute of Crop Processing Technology,62.29,1.56,60.86,76.83,1.42,Thanjavur,Tamil Nadu,39.15,87
IR17-I-1-2811179135,PSG College of Technology,45.79,14.34,61.11,62.6,25.48,Coimbatore,Tamil Nadu,39.07,88
IR17-I-2-18508,Banasthali Vidyapith,37.11,9.99,82.16,74.26,7.46,Banasthali,Rajasthan,38.74,89
IR17-I-2-18580,Bharati Vidyapeeth,48.43,12.95,55.18,62.17,30.64,Pune,Maharashtra,38.73,90
IR17-I-2-18474,Saveetha Institute of Medical and Technical Sciences,51.11,11.81,57.85,76.63,5.81,Chennai,Tamil Nadu,38.68,91
IR17-I-2-1-33,Annamalai University,39.03,26.87,68.64,47.19,3.67,Annamalainagar,Tamil Nadu,38.59,92
IR17-I-2-18607,Calicut University,50.3,8.81,72.68,57.08,4.74,Calicut,Kerala,38.45,93
IR17-I-2-1-448,Mizoram University,52.31,5.27,70.52,69.93,0.03,Aizwal,Mizoram,38.36,94
IR17-I-2-1-373,Kurukshetra University,43.43,13.44,79.64,50.37,2.33,Kurushetra,Haryana,38.26,95
IR17-I-2-10933,Shiv Nadar University,59.15,9.43,47.7,73.23,5.24,Chithera,Uttar Pradesh,37.95,96
IR17-I-2-21078,Symbiosis International,44.8,8.92,60.44,80.33,14.31,Pune,Maharashtra,37.67,97
IR17-I-2-18634,Indian Institute of Science Education & Research Bhopal,46.13,18.21,53.21,70.78,3,Bhopal,Madhya Pradesh,37.32,98
IR17-I-1-18710,Rajiv Gandhi Indian Institute of Management,61.42,1.89,60,62.21,0.57,Shillong,Meghalaya,37.28,99
IR17-I-2-1-N002,KLE Academy of Higher Education and Research,64.13,4.9,49.61,65.54,0.69,Belagavi,Karnataka,37.25,100
